Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
12-Jan-19, Lexington Catering  ,1.95,  ,  ,  ,622.37, restaurants, 
12-Jan-19, To Holidays   ,1.02,  ,  ,  ,41.33, transfers, 
12-Jan-19, Pret A Manger  ,3.49,  ,  ,  ,589.59, restaurants, 
12-Jan-19, To Holidays   ,0.2,  ,  ,  ,44.3, transfers, 
12-Jan-19, Transport for London  ,3.9,  ,  ,  ,44.5, transport, 
11-Jan-19, To Luca Mircoli  ,10,  ,  ,  ,58.49, transfers, 
11-Jan-19, From Holidays   ,  ,22,  ,  ,68.49, transfers, 
11-Jan-19, To Holidays   ,0.2,  ,  ,  ,46.49, transfers, 
11-Jan-19, Marylebone  ,3.9,  ,  ,  ,598.28, restaurants, 
11-Jan-19, To Holidays   ,0.7,  ,  ,  ,46.69, transfers, 
11-Jan-19, Etnacoffee  ,7.65,  ,  ,  ,337.65, restaurants, 
11-Jan-19, To Holidays   ,1.7,  ,  ,  ,47.39, transfers, 
11-Jan-19, Marylebone  ,3.15,  ,  ,  ,357.1, restaurants, 
11-Jan-19, Marylebone  ,1.95,  ,  ,  ,49.09, restaurants, 
11-Jan-19, Transport for London  ,4.8,  ,  ,  ,51.04, transport, 
10-Jan-19, To Holidays   ,0.4,  ,  ,  ,55.84, transfers, 
10-Jan-19, Arrow ECS  ,11.8,  ,  ,  ,345.3, restaurants, 
10-Jan-19, To Holidays   ,0.1,  ,  ,  ,56.24, transfers, 
10-Jan-19, Marylebone  ,1.95,  ,  ,  ,42.35, restaurants, 
10-Jan-19, To Holidays   ,1.82,  ,  ,  ,56.34, transfers, 
10-Jan-19, Park Plaza Sherlock Holmes London  ,10.09,  ,  ,  ,48.4, restaurants, 
10-Jan-19, From Holidays   ,  ,50,  ,  ,58.16, transfers, 
10-Jan-19, Fierce Grace  ,13,  ,  ,  ,8.16, health, 
10-Jan-19, The Japanese Canteen  ,20.52,  ,  ,  ,21.16, restaurants, 
10-Jan-19, Pizza Union  ,4.95,  ,  ,  ,41.68, restaurants, 
10-Jan-19, To Holidays   ,0.4,  ,  ,  ,46.63, transfers, 
09-Jan-19, To Holidays   ,0.1,  ,  ,  ,47.03, transfers, 
09-Jan-19, To Holidays   ,50,  ,  ,  ,47.13, transfers, 
09-Jan-19, Netflix HQ  ,9.99,  ,  ,  ,97.13, utilities, 
09-Jan-19, Cash at HSBC Bank Plc  ,10,  ,  ,  ,107.12, cash, 
09-Jan-19, Arrow ECS  ,5.7,  ,  ,  ,117.12, restaurants, 
09-Jan-19, Chipotle Mexican Grill  ,12.45,  ,  ,  ,122.82, restaurants, 
09-Jan-19, To Holidays   ,0.4,  ,  ,  ,135.27, transfers, 
09-Jan-19, Transport for London  ,4.8,  ,  ,  ,135.67, transport, 
09-Jan-19, Pret A Manger  ,7.03,  ,  ,  ,140.47, restaurants, 
08-Jan-19, To Holidays   ,0.1,  ,  ,  ,147.5, transfers, 
08-Jan-19, To Holidays   ,0.96,  ,  ,  ,147.6, transfers, 
08-Jan-19, London Visitors  ,34.88,  ,  ,  ,148.56, restaurants, 
08-Jan-19, To Holidays   ,0.4,  ,  ,  ,183.44, transfers, 
08-Jan-19, Transport for London  ,4.8,  ,  ,  ,183.84, transport, 
08-Jan-19, Wasabi Sushi & Bento  ,10.95,  ,  ,  ,188.64, restaurants, 
08-Jan-19, UNIQLO Europe Limited  ,29.9,  ,  ,  ,199.59, shopping, 
08-Jan-19, Where 2 Save  ,5.28,  ,  ,  ,229.49, groceries, 
08-Jan-19, To Holidays   ,2,  ,  ,  ,234.77, transfers, 
07-Jan-19, Payment from S Bertani  ,  ,50,  ,  ,236.77, general, 
07-Jan-19, To Holidays   ,0.02,  ,  ,  ,186.77, transfers, 
06-Jan-19, To Sara Virgin  ,50,  ,  ,  ,186.79, transfers, palestra
06-Jan-19, From Holidays   ,  ,20,  ,  ,236.79, transfers, 
06-Jan-19, From Holidays   ,  ,50,  ,  ,216.79, transfers, 
06-Jan-19, To Holidays   ,0.6,  ,  ,  ,166.79, transfers, 
06-Jan-19, To Holidays   ,1.1,  ,  ,  ,167.39, transfers, 
06-Jan-19, To Holidays   ,1.94,  ,  ,  ,168.49, transfers, 
06-Jan-19, Cash at Kilburn Ug Station  ,20,  ,  ,  ,170.43, cash, 
06-Jan-19, Planet Organic  ,16.57,  ,  ,  ,190.43, groceries, 
06-Jan-19, Transport for London  ,5.3,  ,  ,  ,207, transport, 
05-Jan-19, From Luca Mircoli  ,  ,17.44,  ,  ,212.3, transfers, W London - Leicester Square
05-Jan-19, To Holidays   ,0.24,  ,  ,  ,194.86, transfers, 
05-Jan-19, To Holidays   ,0.1,  ,  ,  ,195.1, transfers, 
05-Jan-19, To Holidays   ,0.2,  ,  ,  ,195.2, transfers, 
05-Jan-19, Exchange  to GBP FX Rate £1 = €1.1228 ,  ,138.04,  EUR 155.00 ,  ,195.4, general, 
05-Jan-19, From Giacomo Maravalle  ,  ,7.25,  ,  ,57.36, transfers, 
05-Jan-19, Pret A Manger  ,2.75,  ,  ,  ,50.11, restaurants, 
05-Jan-19, itsu  ,7.72,  ,  ,  ,52.86, restaurants, 
05-Jan-19, To Holidays   ,1.4,  ,  ,  ,60.58, transfers, 
04-Jan-19, To Holidays   ,1.44,  ,  ,  ,61.98, transfers, 
04-Jan-19, To Holidays   ,0.86,  ,  ,  ,63.42, transfers, 
04-Jan-19, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,64.28, cash, 
04-Jan-19, To Holidays   ,1.4,  ,  ,  ,84.28, transfers, 
04-Jan-19, Transport for London  ,5.3,  ,  ,  ,85.68, transport, 
04-Jan-19, Uber Eats  ,15.47,  ,  ,  ,90.98, transport, 
04-Jan-19, Pret A Manger  ,5.5,  ,  ,  ,106.45, restaurants, 
04-Jan-19, Wasabi Sushi & Bento  ,14.6,  ,  ,  ,111.95, restaurants, 
04-Jan-19, Ryman  ,12.53,  ,  ,  ,126.55, utilities, 
03-Jan-19, To Holidays   ,0.56,  ,  ,  ,139.08, transfers, 
03-Jan-19, To Holidays   ,1.2,  ,  ,  ,139.64, transfers, 
03-Jan-19, Transport for London  ,2.4,  ,  ,  ,140.84, transport, 
03-Jan-19, Duke of Wellington  ,22.5,  ,  ,  ,143.24, restaurants, 
03-Jan-19, Tesco Express  ,11.55,  ,  ,  ,165.74, groceries, 
03-Jan-19, Greater Anglia  ,17,  ,  ,  ,177.29, transport, 
03-Jan-19, Uber Eats  ,8.61,  ,  ,  ,194.29, transport, 
03-Jan-19, To Holidays   ,0.5,  ,  ,  ,202.9, transfers, 
02-Jan-19, Transport for London  ,4.8,  ,  ,  ,203.4, transport, 
02-Jan-19, To Holidays   ,0.8,  ,  ,  ,208.2, transfers, 
02-Jan-19, To Holidays   ,0.94,  ,  ,  ,209, transfers, 
02-Jan-19, To Holidays   ,1,  ,  ,  ,209.94, transfers, 
02-Jan-19, To Holidays   ,2,  ,  ,  ,210.94, transfers, 
01-Jan-19, To Holidays   ,0.9,  ,  ,  ,212.94, transfers, 
01-Jan-19, To Holidays   ,2,  ,  ,  ,213.84, transfers, 
01-Jan-19, To Holidays   ,1,  ,  ,  ,215.84, transfers, 
01-Jan-19, Payment from L Maresca  ,  ,170,  ,  ,216.84, general, MONEY TRANSFER
01-Jan-19, To Holidays   ,2,  ,  ,  ,46.84, transfers, 
01-Jan-19, Google aclap Sarl  ,13.49,  ,  ,  ,48.84, shopping, 
01-Jan-19, To Holidays   ,0.4,  ,  ,  ,62.33, transfers, 
31-Dec-18, To Lorenz Maresca  ,675,  ,  ,  ,62.73, transfers, 
31-Dec-18, From Luca Mircoli  ,  ,665,  ,  ,737.73, transfers, 
30-Dec-18, To Holidays   ,1.02,  ,  ,  ,72.73, transfers, 
30-Dec-18, Uber Eats  ,5,  ,  ,  ,73.75, transport, 
30-Dec-18, Trainline  ,17,  ,  ,  ,78.75, transport, 
30-Dec-18, Costa Coffee  ,1.35,  ,  ,  ,95.75, restaurants, 
29-Dec-18, To Holidays   ,2,  ,  ,  ,97.1, transfers, 
29-Dec-18, Kilburn Station  ,10,  ,  ,  ,99.1, transport, 
29-Dec-18, Costa Coffee  ,3.5,  ,  ,  ,109.1, restaurants, 
29-Dec-18, To Holidays   ,0.4,  ,  ,  ,112.6, transfers, 
29-Dec-18, Transport for London  ,2.8,  ,  ,  ,113, transport, 
29-Dec-18, Lima London  ,16.02,  ,  ,  ,115.8, restaurants, 
29-Dec-18, To Holidays   ,0.4,  ,  ,  ,131.82, transfers, 
29-Dec-18, Transport for London  ,4.8,  ,  ,  ,132.22, transport, 
29-Dec-18, Uber Eats  ,15.58,  ,  ,  ,137.02, transport, 
29-Dec-18, Ents 24  ,24,  ,  ,  ,152.6, entertainment, 
28-Dec-18, To Holidays   ,2,  ,  ,  ,176.6, transfers, 
28-Dec-18, To Holidays   ,2,  ,  ,  ,178.6, transfers, 
28-Dec-18, Cash at Po Mill Lane 2221  ,100,  ,  ,  ,180.6, cash, 
28-Dec-18, Boots  ,14.04,  ,  ,  ,280.6, health, 
28-Dec-18, To Holidays   ,0.2,  ,  ,  ,294.64, transfers, 
28-Dec-18, Transport for London  ,2.9,  ,  ,  ,294.84, transport, 
28-Dec-18, Pret A Manger  ,8.34,  ,  ,  ,297.74, restaurants, 
28-Dec-18, To Holidays   ,2,  ,  ,  ,306.08, transfers, 
28-Dec-18, To Holidays   ,2,  ,  ,  ,308.08, transfers, 
28-Dec-18, To Holidays   ,1.3,  ,  ,  ,310.08, transfers, 
28-Dec-18, itsu  ,0.99,  ,  ,  ,311.38, restaurants, 
28-Dec-18, itsu  ,17.91,  ,  ,  ,312.37, restaurants, 
28-Dec-18, Tesco Superstore  ,4.19,  ,  ,  ,330.28, groceries, 
28-Dec-18, Tesco Superstore  ,1.05,  ,  ,  ,334.47, groceries, 
28-Dec-18, Paul Smith Avery Row  ,83,  ,  ,  ,335.52, shopping, 
28-Dec-18, To Holidays   ,1.2,  ,  ,  ,418.52, transfers, 
28-Dec-18, Transport for London  ,2.4,  ,  ,  ,419.72, transport, 
28-Dec-18, Whole Foods Market  ,4.99,  ,  ,  ,422.12, groceries, 
28-Dec-18, To Holidays   ,2,  ,  ,  ,427.11, transfers, 
27-Dec-18, To Holidays   ,1,  ,  ,  ,429.11, transfers, 
27-Dec-18, To Holidays   ,2,  ,  ,  ,430.11, transfers, 
26-Dec-18, To Holidays   ,1.96,  ,  ,  ,432.11, transfers, 
25-Dec-18, To Holidays   ,0.84,  ,  ,  ,434.07, transfers, 
25-Dec-18, To Luciana Fendi  ,60,  ,  ,  ,434.91, transfers, 
25-Dec-18, To Holidays   ,2,  ,  ,  ,494.91, transfers, 
24-Dec-18, To Holidays   ,1.92,  ,  ,  ,496.91, transfers, 
24-Dec-18, To Holidays   ,1.32,  ,  ,  ,498.83, transfers, 
23-Dec-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,500.15, cash, 
23-Dec-18, Ronis Bagel Bakery  ,2.9,  ,  ,  ,510.15, groceries, 
23-Dec-18, Waitrose  ,6.64,  ,  ,  ,513.05, groceries, 
22-Dec-18, To Holidays   ,1.62,  ,  ,  ,519.69, transfers, 
22-Dec-18, To Holidays   ,1.9,  ,  ,  ,521.31, transfers, 
22-Dec-18, To Holidays   ,2,  ,  ,  ,523.21, transfers, 
22-Dec-18, To Holidays   ,0.02,  ,  ,  ,525.21, transfers, 
22-Dec-18, To Holidays   ,0.02,  ,  ,  ,525.23, transfers, 
22-Dec-18, To Holidays   ,0.18,  ,  ,  ,525.25, transfers, 
22-Dec-18, Amazon  ,19,  ,  ,  ,525.43, shopping, 
22-Dec-18, Pret A Manger  ,9.35,  ,  ,  ,544.43, restaurants, 
22-Dec-18, Transport for London  ,5.3,  ,  ,  ,553.78, transport, 
22-Dec-18, itsu  ,10.43,  ,  ,  ,559.08, restaurants, 
21-Dec-18, Exchange  to GBP FX Rate £1 = €1.1101 ,  ,450.38,  EUR 500.00 ,  ,569.51, general, 
21-Dec-18, To Holidays   ,0.72,  ,  ,  ,119.13, transfers, 
21-Dec-18, To Holidays   ,0.2,  ,  ,  ,119.85, transfers, 
21-Dec-18, Wasabi Sushi & Bento  ,1.3,  ,  ,  ,120.05, restaurants, 
21-Dec-18, Newsmart  ,9,  ,  ,  ,121.35, shopping, 
21-Dec-18, Tesco Superstore  ,16.45,  ,  ,  ,130.35, groceries, 
21-Dec-18, itsu  ,14.68,  ,  ,  ,146.8, restaurants, 
21-Dec-18, To Holidays   ,0.2,  ,  ,  ,161.48, transfers, 
21-Dec-18, Transport for London  ,2.9,  ,  ,  ,161.68, transport, 
21-Dec-18, To Holidays   ,1.4,  ,  ,  ,164.58, transfers, 
20-Dec-18, To Holidays   ,1.14,  ,  ,  ,165.98, transfers, 
20-Dec-18, To Holidays   ,1.4,  ,  ,  ,167.12, transfers, 
20-Dec-18, Transport for London  ,5.3,  ,  ,  ,168.52, transport, 
20-Dec-18, Sunflower Cafe  ,8.5,  ,  ,  ,173.82, restaurants, 
20-Dec-18, To Holidays   ,1.3,  ,  ,  ,182.32, transfers, 
19-Dec-18, To Holidays   ,1.1,  ,  ,  ,183.62, transfers, 
19-Dec-18, To Holidays   ,1.4,  ,  ,  ,184.72, transfers, 
19-Dec-18, To Holidays   ,0.64,  ,  ,  ,186.12, transfers, 
19-Dec-18, To Holidays   ,2,  ,  ,  ,186.76, transfers, 
19-Dec-18, To Holidays   ,2,  ,  ,  ,188.76, transfers, 
19-Dec-18, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,190.76, cash, 
19-Dec-18, To Holidays   ,1.2,  ,  ,  ,210.76, transfers, 
19-Dec-18, Transport for London  ,2.4,  ,  ,  ,211.96, transport, 
19-Dec-18, Pret A Manger  ,2.75,  ,  ,  ,214.36, restaurants, 
19-Dec-18, Sunflower Cafe  ,7.95,  ,  ,  ,217.11, restaurants, 
19-Dec-18, Chiltern Firehouse  ,10,  ,  ,  ,225.06, restaurants, 
19-Dec-18, To Holidays   ,2,  ,  ,  ,235.06, transfers, 
18-Dec-18, To Holidays   ,1,  ,  ,  ,237.06, transfers, 
18-Dec-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,238.06, cash, 
18-Dec-18, James News  ,11.99,  ,  ,  ,248.06, shopping, 
18-Dec-18, To Holidays   ,0.2,  ,  ,  ,260.05, transfers, 
18-Dec-18, Transport for London  ,3.9,  ,  ,  ,260.25, transport, 
18-Dec-18, Boots  ,1.3,  ,  ,  ,264.15, health, 
18-Dec-18, Flying Tiger Copenhagen  ,24,  ,  ,  ,265.45, health, 
18-Dec-18, N V S Pharmacy  ,6.99,  ,  ,  ,289.45, health, 
18-Dec-18, Buongiorno e Buonasera  ,13.93,  ,  ,  ,296.44, restaurants, 
17-Dec-18, Selfridges London  ,3.75,  ,  ,  ,310.37, shopping, 
17-Dec-18, Selfridges London  ,14.96,  ,  ,  ,314.12, shopping, 
17-Dec-18, Lima London  ,16.02,  ,  ,  ,329.08, restaurants, 
17-Dec-18, To Holidays   ,0.4,  ,  ,  ,345.1, transfers, 
